"MAKE_NEW","NEW_MODEL","car_type","n"
"BMW","I3","COMPACT",1554
"BMW","I3S","OTHER",5
"BMW","I8","LUX SPORT",143
"BMW","IE","OTHER",1
"BMW","K","OTHER",1
"BMW","K100","OTHER",3
"BMW","K100RT","OTHER",1
"BMW","K1100","OTHER",1
"BMW","K1100L","OTHER",1
"BMW","K12","OTHER",2
"BMW","K1200","OTHER",17
"BMW","K1200GT","OTHER",1
"BMW","K1200LT","OTHER",3
"BMW","K1200RS","OTHER",3
"BMW","K1200S","OTHER",1
"BMW","K1200T","OTHER",1
"BMW","K12RS","OTHER",1
"BMW","K1300","OTHER",2
"BMW","K1300GT","OTHER",1
"BMW","K1300S","OTHER",3
"BMW","K1600","OTHER",12
"BMW","K1600GT","OTHER",2
"BMW","K1600GTL","OTHER",1
"BMW","K75","OTHER",1
"BMW","K750CT","OTHER",1
"BMW","K75RT","OTHER",1
"BMW","K75S","OTHER",1
"BMW","KL1200LT","OTHER",1
"BMW","L6","OTHER",8
"BMW","L7","OTHER",5
"BMW","M","SPORT",12894
"BMW","N/A","OTHER",1
"BMW","R","OTHER",3
"BMW","R100","OTHER",1
"BMW","R100GS","OTHER",2
